author id,username,created_at,id,like_count,quote_count,reply_count,retweet_count,tweet,followers,tweet count,involve_count,tweet_clean,manual_label
30246344,Steve_Collis,2016/2/27,7.03E+17,0,0,0,0,I've seen her #AI performance 5 times already and cried every time 😭so I'm excited for this! 💕 https://t.co/8rhenTtYXh,7519,17001,199,I've seen her  performance  times already and cried every time 😭so I'm excited for this! 💕 ,-1
714925356,FriblyCom,2012/11/15,2.69E+17,0,0,0,0,"3D printing: The hype, the hopes, the hurdles - CNET: 3D printing: The hype, the hopes, the h... http://t.co/p8KHdYKZ #AI #Virtual Agent",913,8738,106,"3D printing: The hype, the hopes, the hurdles - CNET: 3D printing: The hype, the hopes, the h...    Agent",0
410721558,antoniogb130,2014/5/20,4.69E+17,0,0,0,0,Still no updates from #Ai team :-/ @chiyaanvikram @ChiyaanNaresh @RDBalaji @meyyappanram #Chiyaan50,370,64107,142,Still no updates from  team :-/     ,-1
290633273,uxnights,2016/6/29,7.48E+17,0,0,0,2,An algorithm powered by this $35 computer just beat a human fighter pilot https://t.co/UFqTpNxjrS @Raspberry_Pi #AI,6190,3730,203,An algorithm powered by this $ computer just beat a human fighter pilot   ,1
13363182,tmama711,2011/4/21,6.09E+16,0,0,0,0,#AI sucks so far tonight. The intro song and Scott...yuck :/,121,2318,269, sucks so far tonight. The intro song and Scott...yuck :/,-1
534563976,DADADAponpen,2020/4/29,1.26E+18,9,2,0,8,"""AI for People and Business"" �?a framework for success: https://t.co/EmXgXOZRsd —————�?#BigData #DataScience #AI #MachineLearning #DeepLearning #DigitalTransformation #IoT #IoTL #Industry40 #EdgeIntelligence #abdsc  ———�?++See the book here: https://t.co/cJksIHc6Ff https://t.co/QFPyUe9M7a",47,19402,306,"""AI for People and Business"" �?a framework for success:  —————�?            ———�?++See the book here:  ",1
775446186,TheEconomist,2019/5/30,1.13E+18,1,0,0,2,"iFUN is an all-in-one APP for Calendar + Event + Chat + Payment. Partnered with Eventbrite, Ticketmaster &amp; NYU Startup School, we are successfully crowdfunding @Kickstarter https://t.co/xCX4UDhqFJ #startup #apps #MachineLearning #AI #Retweet https://t.co/G4p611QUA8",26969227,317933,258,"iFUN is an all-in-one APP for Calendar + Event + Chat + Payment. Partnered with Eventbrite, Ticketmaster &amp; NYU Startup School, we are successfully crowdfunding        ",1
59200277,Didibenami,2010/8/16,21324236401,0,0,0,0,Middle-aged Subjects With Habitual Low-speed Cycling Exercise Have Greater Mononuclear Cell Responsiven... http://bit.ly/cGFVnL #AI #mdlinx,17633,9463,143,Middle-aged Subjects With Habitual Low-speed Cycling Exercise Have Greater Mononuclear Cell Responsiven...   ,1
93794422,RubberBandD,2010/1/27,8259940779,0,0,0,0,What the hell is up wit this latex shirt this guy is wearin on #AI?? AND he has the NERVE to SUCK!! #siturassdown,303,13299,424,What the hell is up wit this latex shirt this guy is wearin on ?? AND he has the NERVE to SUCK!! ,-1
625030320,PPPLab,2019/4/29,1.12E+18,3,0,0,1,"We spoke with @nikkibaird of @Aptos_Retail on #AR, #AI and #retailtech: https://t.co/sO5We5xuhU And don't forget to check out the Aptos Engage conference which starts TODAY in Orlando: https://t.co/zPJcD1MugK https://t.co/69tSo7qSXP",14919,4671,243,"We spoke with  of  on ,  and :  And don't forget to check out the Aptos Engage conference which starts TODAY in Orlando:  ",1
128334399,mrwhitepatch,2012/4/14,1.91E+17,0,0,0,0,Gotta go to practice. Not a game not a game but practice #AI,1260,128898,111,Gotta go to practice. Not a game not a game but practice ,0
1936040894,401WD,2014/3/13,4.44E+17,0,0,0,1,"Will robots be smarter than humans by 2029, as predicted by Ray Kurzweil? http://t.co/E2qKyPxHlY #artificialintelligence #EmbodiedCognition",10,7847,171,"Will robots be smarter than humans by , as predicted by Ray Kurzweil?   ",1
2481242841,rebecca_s_w_,2016/2/28,7.04E+17,1,0,0,0,"#GPU technology matters to #DeepLearning #AI, powered by @Nvidia:   Accelerating AI with GPUs: A New Computing Model https://t.co/94IV7wMpwI",72,396,240," technology matters to  , powered by :   Accelerating AI with GPUs: A New Computing Model ",0
47161397,Annaalin,2010/4/11,11998517679,0,0,0,0,First line and David Archuletta already gives me goosebumps! How did he not win? #AI,83,8141,380,First line and David Archuletta already gives me goosebumps! How did he not win? ,1
282091188,journalistalen,2012/7/20,2.26E+17,0,0,0,0,Watching Tiger Woods at The Open.One wonders how long it will be before an unaided robot beats a top golf player? Tough.Maybe 20 years. #AI,2571,13731,97,Watching Tiger Woods at The Open.One wonders how long it will be before an unaided robot beats a top golf player? Tough.Maybe  years. ,-1
1.31E+18,GlenGilmore,2021/11/29,1.47E+18,1,0,0,0,"💥Exclusive Event💥  @Kili_Technology and @frogdesign part of @CapgeminiInvent are thrilled to organize an exclusive event about #AI / #ML for Omnicanal Customer Understanding �?👉 https://t.co/xJ4BbqabgL  📅 December 16th, 2021 / 9am CET 📍Online  🔈Talks will be held in French https://t.co/lS62OOA9lT",289887,81834,230,"💥Exclusive Event💥   and  part of  are thrilled to organize an exclusive event about  /  for Omnicanal Customer Understanding �?👉   📅 December 16th,  / 9am CET 📍Online  🔈Talks will be held in French ",1
